# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(*)rho_adm            16:(*)rho_adr            17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f             22:rel. alpha            23:rel. m_e           
       1.000000000000e+14       6.946919902248e-26       4.260073183104e-09       2.347489118041e+22       1.302590431663e+04       1.302590431663e-10       1.302590431663e+18       2.459437467686e-09       2.751560535470e+44       2.488998175392e+33       1.581039587133e+34       4.101823065655e-08       2.252469112208e+44       5.510705159322e+44       4.583281882603e+32       5.066755114571e+43       5.510705159322e+44       1.836901719712e+44      -1.566254019237e+53       5.409717870530e-06       2.000000000000e+00       1.014080000000e+00       9.724000000000e-01 
       9.893085837570e+13       7.097881399630e-26       4.305547918193e-09       2.297561484454e+22       1.302590431663e+04       1.316667471656e-10       1.288663895163e+18       2.486016506155e-09       2.635761930281e+44       2.410015912154e+33       1.530869166723e+34       4.101823065655e-08       2.157674620841e+44       5.278788774847e+44       4.437842653389e+32       4.853522235433e+43       5.278788774847e+44       1.759596258222e+44      -1.484297940178e+53       5.526015769939e-06       1.957908951181e+00       1.014080000000e+00       9.724000000000e-01 
       9.787314738953e+13       7.252123381692e-26       4.352841642685e-09       2.248695738045e+22       1.302590431663e+04       1.330896641628e-10       1.274886253063e+18       2.512882782250e-09       2.524836674885e+44       2.333539957667e+33       1.482290781771e+34       4.101823065655e-08       2.066869527396e+44       5.056632522303e+44       4.297018582033e+32       4.649263198472e+43       5.056632522303e+44       1.685544174042e+44      -1.406630309105e+53       5.642313669334e-06       1.917553041712e+00       1.014080000000e+00       9.724000000000e-01 
       9.682674483178e+13       7.409717141829e-26       4.400135367177e-09       2.200869294040e+22       1.302590431663e+04       1.345279585641e-10       1.261255913469e+18       2.540039400660e-09       2.418579675807e+44       2.259490780358e+33       1.435253912931e+34       4.101823065655e-08       1.979885939248e+44       4.843825649447e+44       4.160663217799e+32       4.453600342214e+43       4.843825649447e+44       1.614608549759e+44      -1.333026727947e+53       5.758611568722e-06       1.878827146122e+00       1.014080000000e+00       9.724000000000e-01 
       9.579152979933e+13       7.570735528929e-26       4.447429091670e-09       2.154060048007e+22       1.302590431663e+04       1.359817965525e-10       1.247771301509e+18       2.567489499639e-09       2.316794470871e+44       2.187791372395e+33       1.389709643961e+34       4.101823065655e-08       1.896563029488e+44       4.639974690419e+44       4.028634757208e+32       4.266171898955e+43       4.639974690419e+44       1.546658230085e+44      -1.263274540523e+53       5.874909468112e-06       1.841634462244e+00       1.014080000000e+00       9.724000000000e-01 
       9.476738268169e+13       7.735252958799e-26       4.494722816162e-09       2.108246365645e+22       1.302590431662e+04       1.374513461069e-10       1.234430859149e+18       2.595236250650e-09       2.219292865953e+44       2.118367169600e+33       1.345610610861e+34       4.101823065655e-08       1.816746739555e+44       4.444702738256e+44       3.900795896566e+32       4.086631325878e+43       4.444702738256e+44       1.481567579365e+44      -1.197172218138e+53       5.991207367499e-06       1.805885704713e+00       1.014080000000e+00       9.724000000000e-01 
       9.375418514718e+13       7.903345467735e-26       4.543835530058e-09       2.063407072783e+22       1.302590431662e+04       1.389367770215e-10       1.221233045010e+18       2.623282859598e-09       2.125894587024e+44       2.051145973909e+33       1.302910952608e+34       4.101823065655e-08       1.740289494399e+44       4.257648748009e+44       3.777013689177e+32       3.914646664317e+43       4.257648748009e+44       1.419216249285e+44      -1.134528777322e+53       6.107505266885e-06       1.771498388655e+00       1.014080000000e+00       9.724000000000e-01 
       9.275182012925e+13       8.075090746205e-26       4.592948243953e-09       2.019521445591e+22       1.302590431662e+04       1.404382609255e-10       1.208176334196e+18       2.651632567091e-09       2.036426946831e+44       1.986057878284e+33       1.261566263467e+34       4.101823065655e-08       1.667049929622e+44       4.078466869202e+44       3.657159407080e+32       3.749899925987e+43       4.078466869202e+44       1.359488956351e+44      -1.075163228039e+53       6.223803166272e-06       1.738396194400e+00       1.014080000000e+00       9.724000000000e-01 
       9.176017181296e+13       8.250568178217e-26       4.642060957849e-09       1.976569201007e+22       1.302590431662e+04       1.419559713029e-10       1.195259218113e+18       2.680288648772e-09       1.950724525616e+44       1.923035194018e+33       1.221533546811e+34       4.101823065655e-08       1.596892630103e+44       3.906825806369e+44       3.541108407185e+32       3.592086505047e+43       3.906825806369e+44       1.302275268741e+44      -1.018904050768e+53       6.340101065658e-06       1.706508402067e+00       1.014080000000e+00       9.724000000000e-01 
       9.077912562158e+13       8.429858864208e-26       4.692992661148e-09       1.934530487358e+22       1.302590431662e+04       1.434900835124e-10       1.182480204294e+18       2.709254415572e-09       1.868628865258e+44       1.862012380337e+33       1.182771170405e+34       4.101823065655e-08       1.529687879629e+44       3.742408206517e+44       3.428740001642e+32       3.440914614900e+43       3.742408206517e+44       1.247469402126e+44      -9.655887009512e+52       6.456398965039e-06       1.675769387306e+00       1.014080000000e+00       9.724000000000e-01 
