# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.379803415871e-10       3.874946715685e-15       3.400979882154e-13       0.000000000000e+00       8.266144676978e-09       4.484130482135e-10      -1.780048576691e-12 
    3       1.307152616517e-10       5.222770301950e-15       3.887814059687e-13       0.000000000000e+00       5.091943918335e-09       3.188255388859e-10      -1.388503816164e-12 
    4       1.237740793977e-10       4.772383193638e-15       3.698382202540e-13       0.000000000000e+00       3.549581478490e-09       2.417748744985e-10      -9.466471774577e-13 
    5       1.185496006003e-10       3.374936950646e-15       3.204954591529e-13       0.000000000000e+00       2.653408635337e-09       1.911610915989e-10      -5.613067220937e-13 
    6       1.148877972050e-10       1.983993597235e-15       2.627237621831e-13       0.000000000000e+00       2.074725111897e-09       1.555912756951e-10      -2.644273947198e-13 
    7       1.125098984552e-10       1.083296283286e-15       2.095609156666e-13       0.000000000000e+00       1.674777843787e-09       1.294503590361e-10      -6.234411305737e-14 
    8       1.111030456346e-10       6.694431406217e-16       1.671227170574e-13       0.000000000000e+00       1.384254599954e-09       1.096695718149e-10       5.349741252134e-14 
    9       1.103786874268e-10       5.241088908982e-16       1.373920769917e-13       0.000000000000e+00       1.165433846864e-09       9.432711095600e-11       1.002106636659e-13 
   10       1.102442553480e-10       4.566647871909e-16       1.196859459620e-13       0.000000000000e+00       9.961857831192e-10       8.212252984081e-11       9.879246268982e-14 
   11       1.104832640260e-10       3.918485906653e-16       1.118696007978e-13       0.000000000000e+00       8.388564032432e-10       7.243608757790e-11       7.037975675254e-14 
   12       1.110289804751e-10       3.352320898733e-16       1.113683040263e-13       0.000000000000e+00       7.331794517676e-10       6.407686576938e-11       3.241431668175e-14 
   13       1.118523045261e-10       3.078378791353e-16       1.156475746522e-13       0.000000000000e+00       6.464145186071e-10       5.727961562279e-11      -2.048779903838e-15 
   14       1.128815008625e-10       3.121480973681e-16       1.225718869885e-13       0.000000000000e+00       5.742205243470e-10       5.145667040390e-11      -2.604519757806e-14 
   15       1.140208281107e-10       3.360680089879e-16       1.306866488074e-13       0.000000000000e+00       5.134435791306e-10       4.640939349980e-11      -3.727983194664e-14 
   16       1.153373903721e-10       3.698407792426e-16       1.391200120136e-13       0.000000000000e+00       4.617600984084e-10       4.207785039655e-11      -3.716878690821e-14 
   17       1.167411511290e-10       4.140705338760e-16       1.474382089563e-13       0.000000000000e+00       4.174172853779e-10       3.833675683761e-11      -2.949053150253e-14 
   18       1.182442147687e-10       4.756880269906e-16       1.557079657106e-13       0.000000000000e+00       3.789240665016e-10       3.505805941388e-11      -1.886983495063e-14 
   19       1.198589006430e-10       5.581635914704e-16       1.641236661092e-13       0.000000000000e+00       3.456730228589e-10       3.219148354974e-11      -8.672567212925e-15 
   20       1.215263293814e-10       6.626029857215e-16       1.728796877201e-13       0.000000000000e+00       3.163832032004e-10       2.963912311068e-11      -2.016484239334e-15 
   21       1.232530783752e-10       7.874464335202e-16       1.820546255471e-13       0.000000000000e+00       2.905956613680e-10       2.738165250841e-11       3.614657847752e-16 
   22       1.250358173836e-10       9.299888447428e-16       1.916290300249e-13       0.000000000000e+00       2.676945477327e-10       2.538731376086e-11      -1.102563909610e-15 
   23       1.268749112259e-10       1.090744855867e-15       2.013887771578e-13       0.000000000000e+00       2.473654073110e-10       2.362540386148e-11      -5.062173939122e-15 
   24       1.287521199260e-10       1.270998934036e-15       2.110038695187e-13       0.000000000000e+00       2.291385795099e-10       2.203988428746e-11      -9.641043682707e-15 
