# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.379808210526e-10       3.875186618792e-15       3.400979840923e-13       2.399031549305e-19       8.266144676978e-09       4.484130482135e-10      -1.780048576691e-12 
    3       1.307162182776e-10       5.223250257489e-15       3.887813875967e-13       4.799560151670e-19       5.091943918335e-09       3.188255388859e-10      -1.388503816164e-12 
    4       1.237756687143e-10       4.773183445349e-15       3.698381674732e-13       8.002540592241e-19       3.549581478490e-09       2.417748744985e-10      -9.466471774577e-13 
    5       1.185519752363e-10       3.376137924896e-15       3.204953389388e-13       1.200982334936e-18       2.653408635337e-09       1.911610915989e-10      -5.613067220937e-13 
    6       1.148911063051e-10       1.985675935185e-15       2.627235258633e-13       1.682360152656e-18       2.074725111897e-09       1.555912756951e-10      -2.644273947198e-13 
    7       1.125142871856e-10       1.085540865042e-15       2.095604964010e-13       2.244633852556e-18       1.674777843787e-09       1.294503590361e-10      -6.234411305737e-14 
    8       1.111086547865e-10       6.723311006682e-16       1.671220276146e-13       2.888068848619e-18       1.384254599954e-09       1.096695718149e-10       5.349741252134e-14 
    9       1.103856531253e-10       5.277216245344e-16       1.373910078471e-13       3.612941290406e-18       1.165433846864e-09       9.432711095600e-11       1.002106636659e-13 
   10       1.102527088695e-10       4.610839481042e-16       1.196843637299e-13       4.419529699438e-18       9.961857831192e-10       8.212252984081e-11       9.879246268982e-14 
   11       1.104933317241e-10       3.971560801875e-16       1.118673470023e-13       5.308106937060e-18       8.388564032432e-10       7.243608757790e-11       7.037975675254e-14 
