#scalar perturbations for mode k = 1.088182900000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm             21:delta_idm             22:theta_idm          
       6.515392243372e+00       1.549388030284e-05      -1.187865793064e+00       2.257861797172e-04       3.913547632928e-08       9.783869082320e-08       1.038456987080e-13       1.956773816464e-08      -8.908993447979e-01       2.257861797172e-04       5.887538394271e-01       7.032793191894e-01      -1.187865793064e+00       2.257344674499e-04       1.966139642379e-04      -1.187865793064e+00       2.257344674499e-04       1.966139642379e-04      -8.908993447980e-01       2.258919481637e-04      -8.908993447979e-01       2.257861797951e-04 
       6.515393444697e+00       1.549388319635e-05      -1.187865795970e+00       2.257862212257e-04       3.913549813808e-08       9.783874534520e-08       1.038457953642e-13       1.956774906904e-08      -8.908993469776e-01       2.257862212257e-04       5.887538394442e-01       7.032793185532e-01      -1.187865795970e+00       2.257345089296e-04       1.966140365449e-04      -1.187865795970e+00       2.257345089296e-04       1.966140365449e-04      -8.908993469779e-01       2.258919897303e-04      -8.908993469776e-01       2.257862213815e-04 
       6.515394646023e+00       1.549388608986e-05      -1.187865798876e+00       2.257862627342e-04       3.913551994689e-08       9.783879986722e-08       1.038458920205e-13       1.956775997344e-08      -8.908993491574e-01       2.257862627342e-04       5.887538394613e-01       7.032793179170e-01      -1.187865798876e+00       2.257345504093e-04       1.966141088519e-04      -1.187865798876e+00       2.257345504093e-04       1.966141088519e-04      -8.908993491578e-01       2.258920312969e-04      -8.908993491574e-01       2.257862629679e-04 
       6.515406659276e+00       1.549391502493e-05      -1.187865827940e+00       2.257866778190e-04       3.913573803544e-08       9.783934508859e-08       1.038468585874e-13       1.956786901772e-08      -8.908993709552e-01       2.257866778190e-04       5.887538396321e-01       7.032793115552e-01      -1.187865827939e+00       2.257349652063e-04       1.966148319227e-04      -1.187865827939e+00       2.257349652063e-04       1.966148319227e-04      -8.908993709568e-01       2.258924469633e-04      -8.908993709552e-01       2.257866788318e-04 
       6.515418672530e+00       1.549394396000e-05      -1.187865857004e+00       2.257870929039e-04       3.913595612481e-08       9.783989031203e-08       1.038478251616e-13       1.956797806241e-08      -8.908993927532e-01       2.257870929039e-04       5.887538398028e-01       7.032793051934e-01      -1.187865857002e+00       2.257353800034e-04       1.966155549948e-04      -1.187865857002e+00       2.257353800034e-04       1.966155549948e-04      -8.908993927561e-01       2.258928626297e-04      -8.908993927532e-01       2.257870946958e-04 
       6.515430685783e+00       1.549397289508e-05      -1.187865886068e+00       2.257875079888e-04       3.913617421500e-08       9.784043553750e-08       1.038487917430e-13       1.956808710750e-08      -8.908994145512e-01       2.257875079888e-04       5.887538399735e-01       7.032792988315e-01      -1.187865886066e+00       2.257357948004e-04       1.966162780682e-04      -1.187865886066e+00       2.257357948004e-04       1.966162780682e-04      -8.908994145554e-01       2.258932782962e-04      -8.908994145512e-01       2.257875105597e-04 
       6.515442699037e+00       1.549400183015e-05      -1.187865915132e+00       2.257879230736e-04       3.913639230600e-08       9.784098076501e-08       1.038497583316e-13       1.956819615300e-08      -8.908994363493e-01       2.257879230736e-04       5.887538401442e-01       7.032792924696e-01      -1.187865915129e+00       2.257362095975e-04       1.966170011429e-04      -1.187865915129e+00       2.257362095975e-04       1.966170011429e-04      -8.908994363547e-01       2.258936939626e-04      -8.908994363493e-01       2.257879264237e-04 
       6.515562831571e+00       1.549429118098e-05      -1.187866205771e+00       2.257920739217e-04       3.913857326086e-08       9.784643315216e-08       1.038594246156e-13       1.956928663043e-08      -8.908996543286e-01       2.257920739217e-04       5.887538418515e-01       7.032792288515e-01      -1.187866205760e+00       2.257403575672e-04       1.966242319632e-04      -1.187866205760e+00       2.257403575672e-04       1.966242319632e-04      -8.908996543467e-01       2.258978506264e-04      -8.908996543286e-01       2.257920850627e-04 
       6.515682964106e+00       1.549458053194e-05      -1.187866496408e+00       2.257962247686e-04       3.914075429721e-08       9.785188574303e-08       1.038690916223e-13       1.957037714861e-08      -8.908998723059e-01       2.257962247686e-04       5.887538435592e-01       7.032791652341e-01      -1.187866496388e+00       2.257445055356e-04       1.966314629162e-04      -1.187866496388e+00       2.257445055356e-04       1.966314629162e-04      -8.908998723368e-01       2.259020072893e-04      -8.908998723059e-01       2.257962437006e-04 
       6.515803096641e+00       1.549486988304e-05      -1.187866787042e+00       2.258003756143e-04       3.914293541504e-08       9.785733853760e-08       1.038787593519e-13       1.957146770752e-08      -8.909000902814e-01       2.258003756143e-04       5.887538452672e-01       7.032791016175e-01      -1.187866787013e+00       2.257486535027e-04       1.966386940021e-04      -1.187866787013e+00       2.257486535027e-04       1.966386940021e-04      -8.909000903250e-01       2.259061639511e-04      -8.909000902814e-01       2.258004023375e-04 
       6.515923229176e+00       1.549515923428e-05      -1.187867077673e+00       2.258045264587e-04       3.914511661436e-08       9.786279153589e-08       1.038884278043e-13       1.957255830718e-08      -8.909003082549e-01       2.258045264588e-04       5.887538469757e-01       7.032790380017e-01      -1.187867077636e+00       2.257528014685e-04       1.966459252208e-04      -1.187867077636e+00       2.257528014685e-04       1.966459252208e-04      -8.909003083112e-01       2.259103206120e-04      -8.909003082549e-01       2.258045609733e-04 
       6.516838258953e+00       1.549736317950e-05      -1.187869291279e+00       2.258361427193e-04       3.916173312534e-08       9.790433281335e-08       1.039620945446e-13       1.958086656267e-08      -8.909019684592e-01       2.258361427195e-04       5.887538600019e-01       7.032785534777e-01      -1.187869291179e+00       2.257843957992e-04       1.967010085830e-04      -1.187869291179e+00       2.257843957992e-04       1.967010085830e-04      -8.909019686123e-01       2.259419811819e-04      -8.909019684593e-01       2.258362365837e-04 
       6.517753288730e+00       1.549956713256e-05      -1.187871504740e+00       2.258677589110e-04       3.917835436478e-08       9.794588591195e-08       1.040358032447e-13       1.958917718239e-08      -8.909036285549e-01       2.258677589113e-04       5.887538730498e-01       7.032780689996e-01      -1.187871504577e+00       2.258159900548e-04       1.967560996494e-04      -1.187871504577e+00       2.258159900548e-04       1.967560996494e-04      -8.909036288049e-01       2.259736416951e-04      -8.909036285551e-01       2.258679121333e-04 
       6.518668318507e+00       1.550177109346e-05      -1.187873718062e+00       2.258993750349e-04       3.919498033357e-08       9.798745083392e-08       1.041095539230e-13       1.959749016678e-08      -8.909052885464e-01       2.258993750354e-04       5.887538861184e-01       7.032775845658e-01      -1.187873717836e+00       2.258475842364e-04       1.968111984201e-04      -1.187873717836e+00       2.258475842364e-04       1.968111984201e-04      -8.909052888933e-01       2.260053021530e-04      -8.909052885467e-01       2.258995876232e-04 
       6.519583348283e+00       1.550397506219e-05      -1.187875931250e+00       2.259309910921e-04       3.921161103259e-08       9.802902758148e-08       1.041833465984e-13       1.960580551630e-08      -8.909069484377e-01       2.259309910928e-04       5.887538992064e-01       7.032771001751e-01      -1.187875930961e+00       2.258791783451e-04       1.968663048949e-04      -1.187875930961e+00       2.258791783451e-04       1.968663048949e-04      -8.909069488815e-01       2.260369625564e-04      -8.909069484382e-01       2.259312630545e-04 
       6.521466955740e+00       1.550851200145e-05      -1.187880486751e+00       2.259960731862e-04       3.924586056046e-08       9.811465140114e-08       1.043353826124e-13       1.962293028023e-08      -8.909103650632e-01       2.259960731872e-04       5.887539262037e-01       7.032761031755e-01      -1.187880486331e+00       2.259442152380e-04       1.969797669501e-04      -1.187880486331e+00       2.259442152380e-04       1.969797669501e-04      -8.909103657067e-01       2.261021359768e-04      -8.909103650644e-01       2.259964673967e-04 
       6.523350563196e+00       1.551304897395e-05      -1.187885041769e+00       2.260611550142e-04       3.928013014465e-08       9.820032536163e-08       1.044875968318e-13       1.964006507233e-08      -8.909137813266e-01       2.260611550155e-04       5.887539532660e-01       7.032751063374e-01      -1.187885041219e+00       2.260092518384e-04       1.970932616516e-04      -1.187885041219e+00       2.260092518384e-04       1.970932616516e-04      -8.909137821701e-01       2.261673091832e-04      -8.909137813287e-01       2.260616715072e-04 
       6.525234170652e+00       1.551758597971e-05      -1.187889596366e+00       2.261262365884e-04       3.931441979343e-08       9.828604948357e-08       1.046399894209e-13       1.965720989671e-08      -8.909171972742e-01       2.261262365899e-04       5.887539803806e-01       7.032741096454e-01      -1.187889595685e+00       2.260742881586e-04       1.972067889994e-04      -1.187889595685e+00       2.260742881586e-04       1.972067889994e-04      -8.909171983177e-01       2.262324821878e-04      -8.909171972774e-01       2.261268753980e-04 
       6.527117778108e+00       1.552212301876e-05      -1.187894150610e+00       2.261913179223e-04       3.934872951530e-08       9.837182378825e-08       1.047925605447e-13       1.967436475765e-08      -8.909206129573e-01       2.261913179241e-04       5.887540075332e-01       7.032731130825e-01      -1.187894149799e+00       2.261393242121e-04       1.973203489932e-04      -1.187894149799e+00       2.261393242121e-04       1.973203489932e-04      -8.909206142010e-01       2.262976550044e-04      -8.909206129618e-01       2.261920790829e-04 
       6.529001385564e+00       1.552666009113e-05      -1.187898704577e+00       2.262563990311e-04       3.938305931907e-08       9.845764829767e-08       1.049453103692e-13       1.969152965953e-08      -8.909240284327e-01       2.262563990332e-04       5.887540347080e-01       7.032721166297e-01      -1.187898703636e+00       2.262043600140e-04       1.974339416330e-04      -1.187898703636e+00       2.262043600140e-04       1.974339416330e-04      -8.909240298768e-01       2.263628276481e-04      -8.909240284387e-01       2.262572825771e-04 
       6.536550056459e+00       1.554484301829e-05      -1.187916953843e+00       2.265172136042e-04       3.952083977415e-08       9.880209943538e-08       1.055592609938e-13       1.976041988708e-08      -8.909377153819e-01       2.265172136075e-04       5.887541434713e-01       7.032681239532e-01      -1.187916952376e+00       2.264649927518e-04       1.978894985808e-04      -1.187916952376e+00       2.264649927518e-04       1.978894985808e-04      -8.909377176307e-01       2.266240095762e-04      -8.909377153964e-01       2.265185879622e-04 
       6.544098727353e+00       1.556302648328e-05      -1.187935205546e+00       2.267780259411e-04       3.965894349615e-08       9.914735874037e-08       1.061760951221e-13       1.982947174807e-08      -8.909514041598e-01       2.267780259456e-04       5.887542511523e-01       7.032641313233e-01      -1.187935203554e+00       2.267256228282e-04       1.983455798306e-04      -1.187935203554e+00       2.267256228282e-04       1.983455798306e-04      -8.909514072162e-01       2.268851901070e-04      -8.909514041866e-01       2.267798916650e-04 
       6.551647398248e+00       1.558121048533e-05      -1.187953457833e+00       2.270388356649e-04       3.979737080531e-08       9.949342701326e-08       1.067958227973e-13       1.989868540265e-08      -8.909650933746e-01       2.270388356705e-04       5.887543581463e-01       7.032601392041e-01      -1.187953455312e+00       2.269862498658e-04       1.988021853760e-04      -1.187953455312e+00       2.269862498658e-04       1.988021853760e-04      -8.909650972413e-01       2.271463688645e-04      -8.909650934173e-01       2.270411933107e-04 
       6.559196069142e+00       1.559939502232e-05      -1.187971705362e+00       2.272996416942e-04       3.993612189021e-08       9.984030472551e-08       1.074184537123e-13       1.996806094510e-08      -8.909787790217e-01       2.272996417010e-04       5.887544655806e-01       7.032561489303e-01      -1.187971702311e+00       2.272468727828e-04       1.992593152093e-04      -1.187971702311e+00       2.272468727828e-04       1.992593152093e-04      -8.909787837016e-01       2.274075447682e-04      -8.909787790841e-01       2.273024918198e-04 
