# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341088232e-05       2.550572001360e+01 
       2.342967822206e-05       5.546738034847e+01 
       3.643194042869e-05       8.492127487928e+01 
       4.951559217028e-05       1.141792928600e+02 
       6.271661944452e-05       1.434201919436e+02 
       7.607192420436e-05       1.727787897816e+02 
       8.961965946786e-05       2.023709687490e+02 
       1.033995794178e-04       2.323039243878e+02 
       1.174534090305e-04       2.626814356949e+02 
       1.318252378085e-04       2.936070809905e+02 
       1.465619421932e-04       3.251864779988e+02 
       1.617136411695e-04       3.575290440632e+02 
       1.773341893779e-04       3.907495077596e+02 
       1.934817116467e-04       4.249692985067e+02 
       2.102191821491e-04       4.603178839949e+02 
       2.276150502240e-04       4.969340981310e+02 
       2.457439131044e-04       5.349674717277e+02 
       2.646872331333e-04       5.745795800068e+02 
       2.845340932198e-04       6.159453887677e+02 
       3.053819789435e-04       6.592545781812e+02 
       3.273375684591e-04       7.047127938947e+02 
       3.505175017362e-04       7.525427744035e+02 
       3.750490883294e-04       8.029852419174e+02 
       4.010708975345e-04       8.562994477862e+02 
       4.287331565431e-04       9.127632165402e+02 
       4.581978616913e-04       9.726722711253e+02 
       4.896384866789e-04       1.036338632706e+03 
       5.232391526165e-04       1.104087816011e+03 
       5.591931125075e-04       1.176254557851e+03 
       5.977004037747e-04       1.253176829829e+03 
       6.389645446572e-04       1.335187971187e+03 
       6.831882020693e-04       1.422606880476e+03 
       7.305678461012e-04       1.515726435072e+03 
       7.812875304315e-04       1.614800560023e+03 
       8.355120895880e-04       1.720030671744e+03 
       8.933802017688e-04       1.831552500787e+03 
       9.549978964105e-04       1.949424532781e+03 
       1.020433149621e-03       2.073619292098e+03 
       1.089712174688e-03       2.204018671698e+03 
       1.162817865886e-03       2.340413945577e+03 
       1.239690608679e-03       2.482510792459e+03 
       1.320231375032e-03       2.629938850372e+03 
       1.404306742651e-03       2.782251337526e+03 
       1.484560572988e-03       2.926145999788e+03 
       1.491755271444e-03       2.938975249330e+03 
       1.582394575872e-03       3.099604674505e+03 
       1.676028451932e-03       3.263614188175e+03 
       1.772453527793e-03       3.430478427321e+03 
       1.871465067158e-03       3.599684076823e+03 
       1.972861723750e-03       3.770739334403e+03 
       2.076449193166e-03       3.943180541263e+03 
       2.182042818616e-03       4.116576393812e+03 
       2.289469276024e-03       4.290530214327e+03 
       2.398567496966e-03       4.464681298010e+03 
       2.509188993726e-03       4.638703764278e+03 
       2.621197739245e-03       4.812305942746e+03 
       2.734469733833e-03       4.985227973167e+03 
       2.848892366340e-03       5.157240092602e+03 
       2.964363653731e-03       5.328139868249e+03 
       3.080791421888e-03       5.497748924639e+03 
