# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.677010176740e-06       2.867039666430e-09 
       9.664783198100e-06       2.843961426254e-09 
       1.216724116757e-05       2.821068954407e-09 
       1.531764909728e-05       2.798360755548e-09 
       1.928377769751e-05       2.775835346369e-09 
       2.427683777879e-05       2.753491255507e-09 
       3.056272799772e-05       2.731327023438e-09 
       3.847619493009e-05       2.709341202389e-09 
       4.843865954663e-05       2.687532356240e-09 
       6.098065941650e-05       2.665899060431e-09 
       7.677010176740e-05       2.644439901870e-09 
       9.664783198100e-05       2.623153478839e-09 
       1.216724116757e-04       2.602038400902e-09 
       1.531764909728e-04       2.581093288818e-09 
       1.928377769751e-04       2.560316774445e-09 
       2.427683777879e-04       2.539707500656e-09 
       3.056272799772e-04       2.519264121249e-09 
       3.847619493009e-04       2.498985300855e-09 
       4.843865954663e-04       2.478869714857e-09 
       6.098065941650e-04       2.458916049299e-09 
       7.677010176740e-04       2.439123000802e-09 
       9.664783198100e-04       2.419489276480e-09 
       1.216724116757e-03       2.400013593851e-09 
       1.531764909728e-03       2.380694680760e-09 
       1.928377769751e-03       2.361531275289e-09 
       2.427683777879e-03       2.342522125680e-09 
       3.056272799772e-03       2.323665990249e-09 
       3.847619493009e-03       2.304961637310e-09 
       4.843865954663e-03       2.286407845088e-09 
       6.098065941650e-03       2.268003401645e-09 
       7.677010176740e-03       2.249747104797e-09 
       9.664783198100e-03       2.231637762039e-09 
       1.216724116757e-02       2.213674190463e-09 
       1.531764909728e-02       2.195855216684e-09 
       1.928377769751e-02       2.178179676762e-09 
       2.427683777879e-02       2.160646416125e-09 
       3.056272799772e-02       2.143254289497e-09 
       3.847619493009e-02       2.126002160818e-09 
       4.843865954663e-02       2.108888903176e-09 
       6.098065941650e-02       2.091913398727e-09 
       7.677010176740e-02       2.075074538627e-09 
       9.664783198100e-02       2.058371222957e-09 
       1.216724116757e-01       2.041802360652e-09 
       1.531764909728e-01       2.025366869430e-09 
       1.928377769751e-01       2.009063675719e-09 
       2.427683777879e-01       1.992891714591e-09 
       3.056272799772e-01       1.976849929689e-09 
       3.847619493009e-01       1.960937273159e-09 
       4.843865954663e-01       1.945152705582e-09 
       6.098065941650e-01       1.929495195906e-09 
       7.677010176740e-01       1.913963721378e-09 
       9.664783198100e-01       1.898557267478e-09 
       1.216724116757e+00       1.883274827852e-09 
