# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381673389570e-10       4.179499758140e-15       3.519338730492e-13       0.000000000000e+00       8.236345150001e-09       4.535748255372e-10      -1.842360011505e-12 
    3       1.306687666161e-10       5.354349686395e-15       3.955017380841e-13       0.000000000000e+00       5.068763774060e-09       3.217368792503e-10      -1.394919961021e-12 
    4       1.236002805218e-10       4.628865797312e-15       3.698086315023e-13       0.000000000000e+00       3.524744050091e-09       2.436997186907e-10      -9.127419616417e-13 
    5       1.183078032609e-10       3.086039182988e-15       3.148770059005e-13       0.000000000000e+00       2.631980849618e-09       1.925368329034e-10      -5.069338581624e-13 
    6       1.146781556623e-10       1.724512522440e-15       2.535649961715e-13       0.000000000000e+00       2.056887115933e-09       1.566785423590e-10      -2.081012115109e-13 
    7       1.123126289346e-10       9.315385406342e-16       1.990694202467e-13       0.000000000000e+00       1.660291796462e-09       1.303589665752e-10      -1.764540102995e-14 
    8       1.109312982504e-10       6.011012092294e-16       1.571596489407e-13       0.000000000000e+00       1.372925898541e-09       1.103958055182e-10       7.941419035818e-14 
    9       1.102860853262e-10       4.824289015477e-16       1.291091961240e-13       0.000000000000e+00       1.156601766700e-09       9.490324149816e-11       1.064376884545e-13 
   10       1.101462412286e-10       4.107509860196e-16       1.135896437351e-13       0.000000000000e+00       9.888512984077e-10       8.262930828114e-11       8.927910828334e-14 
   11       1.104530837099e-10       3.446471234199e-16       1.079388563130e-13       0.000000000000e+00       8.333804438504e-10       7.300889256509e-11       5.203126185902e-14 
   12       1.110548961191e-10       2.997604621324e-16       1.090992387543e-13       0.000000000000e+00       7.283489684428e-10       6.455579612079e-11       1.227603018618e-14 
   13       1.119014036773e-10       2.870888409432e-16       1.143865740073e-13       0.000000000000e+00       6.421078170111e-10       5.769182976164e-11      -1.798980429822e-14 
   14       1.129452442726e-10       2.986643847394e-16       1.217805526325e-13       0.000000000000e+00       5.703409242205e-10       5.171517042175e-11      -3.451226175674e-14 
   15       1.141730613539e-10       3.227440281262e-16       1.299916582890e-13       0.000000000000e+00       5.099194211027e-10       4.668819694993e-11      -3.750070597487e-14 
   16       1.155095776904e-10       3.568043999231e-16       1.383569394419e-13       0.000000000000e+00       4.585371828678e-10       4.235489223458e-11      -3.091277377868e-14 
   17       1.169824274800e-10       4.063741986554e-16       1.466586761923e-13       0.000000000000e+00       4.144517924990e-10       3.857282697361e-11      -1.994056275643e-14 
   18       1.185284107785e-10       4.768831506450e-16       1.551538213210e-13       0.000000000000e+00       3.761812931012e-10       3.527415860097e-11      -9.473504336264e-15 
   19       1.201587710817e-10       5.686589411967e-16       1.640643105408e-13       0.000000000000e+00       3.431210303792e-10       3.241158889319e-11      -2.117096497593e-15 
   20       1.218662609891e-10       6.797011588476e-16       1.735308693090e-13       0.000000000000e+00       3.139983697636e-10       2.986962331599e-11       4.177762113757e-16 
   21       1.236523727060e-10       8.093670720747e-16       1.835063887076e-13       0.000000000000e+00       2.883573077029e-10       2.760240582578e-11      -1.297288170452e-15 
   22       1.254910556454e-10       9.571659823842e-16       1.938040836771e-13       0.000000000000e+00       2.655859263383e-10       2.555360741026e-11      -5.508471194397e-15 
   23       1.273871821012e-10       1.123297121931e-15       2.040967437137e-13       0.000000000000e+00       2.453722026978e-10       2.371510410056e-11      -1.047333150608e-14 
   24       1.293343905080e-10       1.307991873670e-15       2.139696681242e-13       0.000000000000e+00       2.272498741422e-10       2.207080906106e-11      -1.433775676654e-14 
   25       1.313346434265e-10       1.511336357834e-15       2.231352024658e-13       0.000000000000e+00       2.110064573158e-10       2.060001864960e-11      -1.626984659382e-14 
   26       1.333767044810e-10       1.733605305791e-15       2.313469649686e-13       0.000000000000e+00       1.963485971766e-10       1.926614701791e-11      -1.593292920174e-14 
   27       1.354555351892e-10       1.976813114107e-15       2.384879002213e-13       0.000000000000e+00       1.831009204646e-10       1.805185068871e-11      -1.394335964061e-14 
   28       1.375593863503e-10       2.243491751642e-15       2.445123899232e-13       0.000000000000e+00       1.710355013709e-10       1.693816083109e-11      -1.130862044428e-14 
   29       1.396974227472e-10       2.535047704521e-15       2.494903408378e-13       0.000000000000e+00       1.600910597826e-10       1.592309867555e-11      -8.694788584417e-15 
   30       1.418741124296e-10       2.852515754860e-15       2.535675807998e-13       0.000000000000e+00       1.501504375616e-10       1.500090206495e-11      -6.780530507529e-15 
   31       1.440834568409e-10       3.196896156457e-15       2.568922007264e-13       0.000000000000e+00       1.410112966236e-10       1.415711700443e-11      -6.191206259547e-15 
   32       1.463284753708e-10       3.569247537435e-15       2.594080762589e-13       0.000000000000e+00       1.326266418174e-10       1.338328254454e-11      -6.736509410343e-15 
   33       1.486063436333e-10       3.970620540880e-15       2.609827839018e-13       0.000000000000e+00       1.249373387648e-10       1.266600034614e-11      -7.873703732580e-15 
   34       1.509073337270e-10       4.401981969240e-15       2.614684928837e-13       0.000000000000e+00       1.178359772176e-10       1.198854856356e-11      -9.001047590630e-15 
   35       1.532336361790e-10       4.864049542377e-15       2.607356872075e-13       0.000000000000e+00       1.112863451003e-10       1.135288434278e-11      -9.839006810827e-15 
   36       1.555853903343e-10       5.357386300273e-15       2.586488639802e-13       0.000000000000e+00       1.052360398634e-10       1.076458194230e-11      -1.017397262897e-14 
   37       1.579584694237e-10       5.882526950871e-15       2.550849161608e-13       0.000000000000e+00       9.960648569954e-11       1.022623729031e-11      -9.836477614520e-15 
   38       1.603569077044e-10       6.440292381993e-15       2.500306574562e-13       0.000000000000e+00       9.438323045777e-11       9.735698414421e-12      -8.978604955716e-15 
   39       1.627834329053e-10       7.031572769956e-15       2.435182343969e-13       0.000000000000e+00       8.954978662963e-11       9.286719354826e-12      -7.892051128140e-15 
   40       1.652354129544e-10       7.657242097544e-15       2.356006268725e-13       0.000000000000e+00       8.506016191665e-11       8.869014780620e-12      -6.939779197744e-15 
   41       1.677076294698e-10       8.318112947373e-15       2.263305422977e-13       0.000000000000e+00       8.085490141246e-11       8.471390639226e-12      -6.460920666207e-15 
   42       1.702030493733e-10       9.014785641628e-15       2.156858220457e-13       0.000000000000e+00       7.692168331323e-11       8.093148146368e-12      -6.437193101242e-15 
   43       1.727246038777e-10       9.747748270676e-15       2.036218617546e-13       0.000000000000e+00       7.325011623512e-11       7.735841607377e-12      -6.725630866491e-15 
   44       1.752718176476e-10       1.051741265183e-14       1.900915959245e-13       0.000000000000e+00       6.981355441472e-11       7.400053307960e-12      -7.146695686025e-15 
   45       1.778424041385e-10       1.132415510839e-14       1.750468323452e-13       0.000000000000e+00       6.657862715920e-11       7.085532270691e-12      -7.524039893430e-15 
   46       1.804384185102e-10       1.216846292809e-14       1.584434075864e-13       0.000000000000e+00       6.354027442309e-11       6.791870542911e-12      -7.823297914758e-15 
   47       1.830613680489e-10       1.305082477216e-14       1.402370844824e-13       0.000000000000e+00       6.069498390660e-11       6.517877106427e-12      -8.050943470336e-15 
   48       1.857102164058e-10       1.397168818524e-14       1.203818757875e-13       0.000000000000e+00       5.803022318424e-11       6.261293091000e-12      -8.216024424654e-15 
   49       1.883811562794e-10       1.493145811126e-14       9.882985049156e-14       0.000000000000e+00       5.552376879665e-11       6.018715562360e-12      -8.330322865639e-15 
   50       1.910697684125e-10       1.593046900216e-14       7.553629688124e-14       0.000000000000e+00       5.315040465187e-11       5.786570681107e-12      -8.408813750310e-15 
   51       1.937787168353e-10       1.696889566163e-14       5.047731324805e-14       0.000000000000e+00       5.090571722496e-11       5.564521402051e-12      -8.470816224459e-15 
   52       1.965117494773e-10       1.804681563560e-14       2.363665718401e-14       0.000000000000e+00       4.878759959033e-11       5.352853019253e-12      -8.539431522517e-15 
   53       1.992713821229e-10       1.916423084225e-14      -4.999136829820e-15       0.000000000000e+00       4.678913020015e-11       5.151478445894e-12      -8.641441713422e-15 
   54       2.020587833913e-10       2.032106484528e-14      -3.544069902546e-14       0.000000000000e+00       4.489824876713e-11       4.959911384444e-12      -8.807483830073e-15 
   55       2.048743206497e-10       2.151720926892e-14      -6.769600225617e-14       0.000000000000e+00       4.310143854857e-11       4.777500986447e-12      -9.062340243997e-15 
   56       2.077196200632e-10       2.275268279244e-14      -1.017710812604e-13       0.000000000000e+00       4.139658693138e-11       4.604265561181e-12      -9.392586256330e-15 
   57       2.105958168384e-10       2.402750687713e-14      -1.376693897901e-13       0.000000000000e+00       3.978275197574e-11       4.440218983586e-12      -9.771210475311e-15 
   58       2.135028518010e-10       2.534165929057e-14      -1.753915318386e-13       0.000000000000e+00       3.825627156012e-11       4.285111070783e-12      -1.016658805469e-14 
   59       2.164393821260e-10       2.669507329448e-14      -2.149352124496e-13       0.000000000000e+00       3.681059535767e-11       4.138410940153e-12      -1.054226974186e-14 
   60       2.194026920683e-10       2.808763683257e-14      -2.562951885264e-13       0.000000000000e+00       3.543611681258e-11       3.999290367431e-12      -1.085677092589e-14 
   61       2.223899543997e-10       2.951911390442e-14      -2.994636504982e-13       0.000000000000e+00       3.412284217857e-11       3.866854476819e-12      -1.107304340709e-14 
   62       2.254025475431e-10       3.098888990148e-14      -3.444315787173e-13       0.000000000000e+00       3.286947782934e-11       3.740931969157e-12      -1.118985233938e-14 
   63       2.284425534650e-10       3.249616740766e-14      -3.911876056144e-13       0.000000000000e+00       3.167609381441e-11       3.621433544810e-12      -1.121709989358e-14 
   64       2.315114469839e-10       3.404003575307e-14      -4.397175768905e-13       0.000000000000e+00       3.054139032703e-11       3.508111603479e-12      -1.116685838079e-14 
   65       2.346100493577e-10       3.561946773286e-14      -4.900045159957e-13       0.000000000000e+00       2.946261969844e-11       3.400551449953e-12      -1.105346652598e-14 
   66       2.377384818714e-10       3.723331632608e-14      -5.420285886089e-13       0.000000000000e+00       2.843550839197e-11       3.298162499844e-12      -1.089362574144e-14 
   67       2.408961194235e-10       3.888031141461e-14      -5.957670671180e-13       0.000000000000e+00       2.745417899731e-11       3.200169485335e-12      -1.070649640036e-14 
   68       2.440821970310e-10       4.055919119034e-14      -6.511958879972e-13       0.000000000000e+00       2.651272061341e-11       3.105811333234e-12      -1.051011741148e-14 
   69       2.472978757944e-10       4.226913463076e-14      -7.082947697814e-13       0.000000000000e+00       2.561044386523e-11       3.015004251717e-12      -1.030960729046e-14 
   70       2.505445140972e-10       4.400941116258e-14      -7.670430730828e-13       0.000000000000e+00       2.474755545110e-11       2.927797821361e-12      -1.010673428019e-14 
   71       2.538230225465e-10       4.577925388756e-14      -8.274183045742e-13       0.000000000000e+00       2.392356876258e-11       2.844175790343e-12      -9.903383715183e-15 
   72       2.571338342590e-10       4.757785974609e-14      -8.893961222077e-13       0.000000000000e+00       2.313726803689e-11       2.764052591496e-12      -9.701560261927e-15 
   73       2.604768751471e-10       4.940438968075e-14      -9.529503404336e-13       0.000000000000e+00       2.238667250937e-11       2.687269859361e-12      -9.503390159151e-15 
   74       2.638515342046e-10       5.125796879996e-14      -1.018052935419e-12       0.000000000000e+00       2.166900056599e-11       2.613592947246e-12      -9.311123458151e-15 
   75       2.672566337928e-10       5.313768654147e-14      -1.084674050266e-12       0.000000000000e+00       2.098063389577e-11       2.542707444282e-12      -9.127136263095e-15 
   76       2.706910159796e-10       5.504253320213e-14      -1.152781606472e-12       0.000000000000e+00       2.031801596677e-11       2.474301946231e-12      -8.953619755339e-15 
   77       2.741554906814e-10       5.697119580307e-14      -1.222340044975e-12       0.000000000000e+00       1.968061584870e-11       2.408341492486e-12      -8.791576845567e-15 
   78       2.776511904404e-10       5.892222512377e-14      -1.293311363945e-12       0.000000000000e+00       1.906844224097e-11       2.344837895488e-12      -8.641645776460e-15 
   79       2.811789690819e-10       6.089409491078e-14      -1.365655489370e-12       0.000000000000e+00       1.848114067762e-11       2.283766223956e-12      -8.504392992327e-15 
   80       2.847393846330e-10       6.288520073647e-14      -1.439330272195e-12       0.000000000000e+00       1.791797683892e-11       2.225063088657e-12      -8.380308956665e-15 
   81       2.883326822413e-10       6.489385885772e-14      -1.514291485475e-12       0.000000000000e+00       1.737781986283e-11       2.168624928153e-12      -8.269803969718e-15 
   82       2.919587770934e-10       6.691830507465e-14      -1.590492821510e-12       0.000000000000e+00       1.685912565656e-11       2.114306294570e-12      -8.173203986036e-15 
   83       2.956172373333e-10       6.895669358935e-14      -1.667885888997e-12       0.000000000000e+00       1.635992020811e-11       2.061918139350e-12      -8.090746432038e-15 
   84       2.993075675039e-10       7.100716617183e-14      -1.746420727722e-12       0.000000000000e+00       1.587827947443e-11       2.011275121409e-12      -8.022306549597e-15 
   85       3.030301502748e-10       7.306807533242e-14      -1.826047456956e-12       0.000000000000e+00       1.541389700907e-11       1.962350297683e-12      -7.966533463312e-15 
   86       3.067854302410e-10       7.513779622617e-14      -1.906714896361e-12       0.000000000000e+00       1.496674682480e-11       1.915143053254e-12      -7.921562557290e-15 
   87       3.105736154275e-10       7.721465967485e-14      -1.988370078497e-12       0.000000000000e+00       1.453660170355e-11       1.869631481823e-12      -7.885263632049e-15 
   88       3.143946652592e-10       7.929695220729e-14      -2.070958254656e-12       0.000000000000e+00       1.412302485372e-11       1.825771495373e-12      -7.855232193109e-15 
   89       3.182482785295e-10       8.138291609973e-14      -2.154422900716e-12       0.000000000000e+00       1.372536156754e-11       1.783495933839e-12      -7.828780739573e-15 
   90       3.221338813706e-10       8.347074941623e-14      -2.238705722972e-12       0.000000000000e+00       1.334273087848e-11       1.742713674763e-12      -7.802930052714e-15 
   91       3.260506152224e-10       8.555860604893e-14      -2.323746663986e-12       0.000000000000e+00       1.297401721849e-11       1.703308742969e-12      -7.774400484562e-15 
   92       3.299973248018e-10       8.764459575852e-14      -2.409483908430e-12       0.000000000000e+00       1.261786207548e-11       1.665139420218e-12      -7.739603246484e-15 
   93       3.339729098231e-10       8.972681212469e-14      -2.495854756541e-12       0.000000000000e+00       1.227298638499e-11       1.628072831181e-12      -7.695466453761e-15 
   94       3.379774668006e-10       9.180342111894e-14      -2.582798382091e-12       0.000000000000e+00       1.193923129142e-11       1.592096585447e-12      -7.642074296057e-15 
   95       3.420112975290e-10       9.387258598976e-14      -2.670253501951e-12       0.000000000000e+00       1.161665922103e-11       1.557222358466e-12      -7.580410538785e-15 
   96       3.460745536901e-10       9.593244095718e-14      -2.758157562945e-12       0.000000000000e+00       1.130523334292e-11       1.523451513404e-12      -7.511561844818e-15 
   97       3.501672298161e-10       9.798109163627e-14      -2.846446759607e-12       0.000000000000e+00       1.100481376635e-11       1.490774697786e-12      -7.436720521637e-15 
   98       3.542891562515e-10       1.000166154606e-13      -2.935056051930e-12       0.000000000000e+00       1.071515373803e-11       1.459171440135e-12      -7.357187268470e-15 
   99       3.584399921161e-10       1.020370621057e-13      -3.023919183119e-12       0.000000000000e+00       1.043589583936e-11       1.428609746618e-12      -7.274373923440e-15 
  100       3.626192182673e-10       1.040404539124e-13      -3.112968697346e-12       0.000000000000e+00       1.016656818380e-11       1.399045697685e-12      -7.189806210703e-15 
  101       3.668261302626e-10       1.060247863109e-13      -3.202135957498e-12       0.000000000000e+00       9.906580614103e-12       1.370423044709e-12      -7.105126487600e-15 
  102       3.710598313224e-10       1.079880282432e-13      -3.291351162931e-12       0.000000000000e+00       9.655220899603e-12       1.342672806633e-12      -7.022096491792e-15 
  103       3.753192252921e-10       1.099281225876e-13      -3.380543367226e-12       0.000000000000e+00       9.411650933539e-12       1.315712866608e-12      -6.942600088409e-15 
  104       3.796032476953e-10       1.118430376524e-13      -3.469641055090e-12       0.000000000000e+00       9.175096751766e-12       1.289467257429e-12      -6.868239051316e-15 
  105       3.839116095955e-10       1.137309286691e-13      -3.558573923607e-12       0.000000000000e+00       8.945456013062e-12       1.263927853594e-12      -6.799052302491e-15 
  106       3.882441415668e-10       1.155899990057e-13      -3.647271375821e-12       0.000000000000e+00       8.722765873242e-12       1.239100299767e-12      -6.734627976593e-15 
  107       3.926005602095e-10       1.174184520170e-13      -3.735662006686e-12       0.000000000000e+00       8.507014839090e-12       1.214984881426e-12      -6.674493232908e-15 
  108       3.969804637290e-10       1.192144920289e-13      -3.823673626957e-12       0.000000000000e+00       8.298141095546e-12       1.191576337866e-12      -6.618112530335e-15 
  109       4.013833275145e-10       1.209763253234e-13      -3.911233287088e-12       0.000000000000e+00       8.096030832910e-12       1.168863675204e-12      -6.564885902380e-15 
  110       4.058084997182e-10       1.227021611233e-13      -3.998267301132e-12       0.000000000000e+00       7.900516574036e-12       1.146829979378e-12      -6.514147232147e-15 
  111       4.102551968338e-10       1.243902125766e-13      -4.084701270632e-12       0.000000000000e+00       7.711375501524e-12       1.125452229152e-12      -6.465162527329e-15 
  112       4.147224992758e-10       1.260386977415e-13      -4.170460108525e-12       0.000000000000e+00       7.528327784919e-12       1.104701109115e-12      -6.417128195199e-15 
  113       4.192093469584e-10       1.276458405710e-13      -4.255468063033e-12       0.000000000000e+00       7.351034907908e-12       1.084540822687e-12      -6.369169317602e-15 
  114       4.237145348740e-10       1.292098718974e-13      -4.339648741565e-12       0.000000000000e+00       7.179097995510e-12       1.064928905116e-12      -6.320337925944e-15 
  115       4.282367086727e-10       1.307290304175e-13      -4.422925134608e-12       0.000000000000e+00       7.012056141281e-12       1.045816036488e-12      -6.269611276185e-15 
  116       4.327745558299e-10       1.322016116882e-13      -4.505220582345e-12       0.000000000000e+00       6.849487466892e-12       1.027156864970e-12      -6.216109726912e-15 
  117       4.373274149706e-10       1.336261197689e-13      -4.586461756721e-12       0.000000000000e+00       6.691329816502e-12       1.008944369229e-12      -6.159784113649e-15 
  118       4.418947326701e-10       1.350011359511e-13      -4.666576088501e-12       0.000000000000e+00       6.537596092988e-12       9.911793421270e-13      -6.100809096002e-15 
  119       4.464758718315e-10       1.363252737904e-13      -4.745490888875e-12       0.000000000000e+00       6.388274258166e-12       9.738596656275e-13      -6.039371246677e-15 
  120       4.510701089935e-10       1.375971805158e-13      -4.823133381696e-12       0.000000000000e+00       6.243326568314e-12       9.569802211413e-13      -5.975669268140e-15 
  121       4.556766316392e-10       1.388155384387e-13      -4.899430735706e-12       0.000000000000e+00       6.102688809704e-12       9.405327998811e-13      -5.909914209284e-15 
  122       4.602945355039e-10       1.399790663622e-13      -4.974310096773e-12       0.000000000000e+00       5.966269534127e-12       9.245060132125e-13      -5.842329682089e-15 
  123       4.649228218835e-10       1.410865209905e-13      -5.047698620119e-12       0.000000000000e+00       5.833949294424e-12       9.088852030062e-13      -5.773152078287e-15 
  124       4.695603949428e-10       1.421366983378e-13      -5.119523502556e-12       0.000000000000e+00       5.705579880013e-12       8.936523519900e-13      -5.702630786024e-15 
  125       4.742060590238e-10       1.431284351374e-13      -5.189712014717e-12       0.000000000000e+00       5.580983552414e-12       8.787859941005e-13      -5.631028406522e-15 
