# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381678120524e-10       4.179730739619e-15       3.519338690442e-13       2.309814367665e-19       8.236345150001e-09       4.535748255372e-10      -1.842360011505e-12 
    3       1.306697105150e-10       5.354811744768e-15       3.955017202331e-13       4.620579482608e-19       5.068763774060e-09       3.217368792503e-10      -1.394919961021e-12 
    4       1.236018486558e-10       4.629636105345e-15       3.698085802006e-13       7.703059491906e-19       3.524744050091e-09       2.436997186907e-10      -9.127419616417e-13 
    5       1.183101461768e-10       3.087195037068e-15       3.148768890049e-13       1.155846949852e-18       2.631980849618e-09       1.925368329034e-10      -5.069338581624e-13 
    6       1.146814204439e-10       1.726131370307e-15       2.535647662579e-13       1.618828443282e-18       2.056887115933e-09       1.566785423590e-10      -2.081012115109e-13 
    7       1.123169587111e-10       9.336980069407e-16       1.990690121062e-13       2.159421173049e-18       1.660291796462e-09       1.303589665752e-10      -1.764540102995e-14 
    8       1.109368318032e-10       6.038791184286e-16       1.571589773471e-13       2.777816043081e-18       1.372925898541e-09       1.103958055182e-10       7.941419035818e-14 
    9       1.102929568007e-10       4.859032976212e-16       1.291081538953e-13       3.474220761026e-18       1.156601766700e-09       9.490324149816e-11       1.064376884545e-13 
   10       1.101545799538e-10       4.150001485324e-16       1.135881001047e-13       4.248856313127e-18       9.888512984077e-10       8.262930828114e-11       8.927910828334e-14 
   11       1.104630141258e-10       3.497495794131e-16       1.079366556151e-13       5.101953371561e-18       8.333804438504e-10       7.300889256509e-11       5.203126185902e-14 
   12       1.110665378088e-10       3.057949933831e-16       1.090961994232e-13       6.033748734748e-18       7.283489684428e-10       6.455579612079e-11       1.227603018618e-14 
   13       1.119148714946e-10       2.941344861680e-16       1.143824878800e-13       7.044481897117e-18       6.421078170111e-10       5.769182976164e-11      -1.798980429822e-14 
