# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537257520e+01 
       2.326967396011e-05       1.050301501553e+02 
       3.616373003078e-05       1.608006162073e+02 
       4.913726118005e-05       2.162187369674e+02 
       6.222535629174e-05       2.716139613706e+02 
       7.546398368554e-05       3.272355715418e+02 
       8.889031236246e-05       3.832982857404e+02 
       1.025430474106e-04       4.400009709742e+02 
       1.164627838570e-04       4.975362794969e+02 
       1.306923832855e-04       5.560965288789e+02 
       1.452773775457e-04       6.158777768025e+02 
       1.602664038245e-04       6.770830665256e+02 
       1.757116751758e-04       7.399251537198e+02 
       1.916694902516e-04       8.046291133481e+02 
       2.082007853352e-04       8.714346741198e+02 
       2.253717307374e-04       9.405987359769e+02 
       2.432543719999e-04       1.012397805537e+03 
       2.619273139533e-04       1.087130366217e+03 
       2.814764422309e-04       1.165119448038e+03 
       3.019956720255e-04       1.246715024424e+03 
       3.235877073292e-04       1.332296391377e+03 
       3.463647852096e-04       1.422274150688e+03 
       3.704493684977e-04       1.517092128376e+03 
       3.959747363138e-04       1.617228373761e+03 
       4.230854051645e-04       1.723195493653e+03 
       4.519372943754e-04       1.835539766571e+03 
       4.826975296699e-04       1.954838573039e+03 
       5.155437601784e-04       2.081695757518e+03 
       5.506628509895e-04       2.216734382081e+03 
       5.882488111729e-04       2.360586921235e+03 
       6.284998331605e-04       2.513881134357e+03 
       6.716143612428e-04       2.677223323177e+03 
       7.177861811893e-04       2.851177695073e+03 
       7.671986317901e-04       3.036242988425e+03 
       8.200181765813e-04       3.232827811872e+03 
       8.763877232654e-04       3.441225674211e+03 
       9.364202109279e-04       3.661592337804e+03 
       1.000193065331e-03       3.893928043158e+03 
       1.067744116788e-03       4.138065302120e+03 
       1.139069464862e-03       4.393667900537e+03 
       1.214123566691e-03       4.660235831337e+03 
       1.292821557253e-03       4.937120972470e+03 
       1.375043536459e-03       5.223531319071e+03 
       1.460640338289e-03       5.518594521468e+03 
       1.549440173132e-03       5.821393613925e+03 
       1.641255519560e-03       6.130955570481e+03 
       1.735889720631e-03       6.446297979028e+03 
       1.833142878533e-03       6.766452710422e+03 
       1.932816801141e-03       7.090485049514e+03 
       2.034718902449e-03       7.417507793765e+03 
       2.138665076194e-03       7.746690555092e+03 
       2.244481640951e-03       8.077266531848e+03 
       2.352006497986e-03       8.408535209826e+03 
       2.461089657427e-03       8.739861283107e+03 
       2.571593283008e-03       9.070673215483e+03 
       2.683391388813e-03       9.400460374528e+03 
       2.796369299488e-03       9.728768740884e+03 
       2.910422962674e-03       1.005519667571e+04 
       3.025458181340e-03       1.037939113159e+04 
       3.141389815660e-03       1.070104094083e+04 
       3.258140989338e-03       1.101987598594e+04 
       3.375642323755e-03       1.133565936674e+04 
       3.493831214590e-03       1.164818716791e+04 
       3.612651159184e-03       1.195728187978e+04 
       3.732051138326e-03       1.226279303082e+04 
       3.851985053074e-03       1.256459001894e+04 
       3.972411215108e-03       1.286256463465e+04 
       4.093291887857e-03       1.315662357963e+04 
       4.214592874901e-03       1.344669262712e+04 
       4.336283151802e-03       1.373270728014e+04 
       4.458334537451e-03       1.401462000457e+04 
       4.580721401075e-03       1.429239019347e+04 
       4.703420401263e-03       1.456598268368e+04 
       4.826410253618e-03       1.483533844670e+04 
       4.949671523909e-03       1.510054031258e+04 
       5.073186443891e-03       1.536150241835e+04 
       5.196938747250e-03       1.561824451849e+04 
       5.320913523383e-03       1.587080738820e+04 
       5.445097086976e-03       1.611920400312e+04 
       5.569476861582e-03       1.636338572819e+04 
       5.694041275594e-03       1.660265272329e+04 
       5.818779669195e-03       1.683849369437e+04 
       5.943682211035e-03       1.707019310114e+04 
       6.068739823547e-03       1.729772877243e+04 
       6.193944115904e-03       1.752125762649e+04 
       6.319287323794e-03       1.774087847097e+04 
       6.444762255220e-03       1.795665479020e+04 
       6.570362241695e-03       1.816792758722e+04 
       6.696081094214e-03       1.837532706356e+04 
       6.821913063510e-03       1.857874652254e+04 
       6.947852804110e-03       1.877835640496e+04 
